Frame Number,X_Left Elbow,X_Left Foot,X_Left Hip,X_Left Knee,X_Left Shoulder,X_Left Wrist,X_Nose,X_Right Elbow,X_Right Foot,X_Right Hip,X_Right Knee,X_Right Shoulder,X_Right Wrist,Y_Left Elbow,Y_Left Foot,Y_Left Hip,Y_Left Knee,Y_Left Shoulder,Y_Left Wrist,Y_Nose,Y_Right Elbow,Y_Right Foot,Y_Right Hip,Y_Right Knee,Y_Right Shoulder,Y_Right Wrist,Annotation
5,0.3141979575157165,0.3359804153442383,0.2968339025974273,0.3136745393276214,0.2899081408977508,0.3133067786693573,0.2807301580905914,0.2363533675670623,0.2877223193645477,0.2714330554008484,0.2858506143093109,0.2326599657535553,0.2637318968772888,0.484645813703537,0.7348151803016663,0.5436694025993347,0.6350181102752686,0.4364222288131714,0.4900771975517273,0.4415112733840942,0.5443761944770813,0.6612539291381836,0.5618247389793396,0.6350536346435547,0.4785546660423279,0.5773651599884033,No Fall
10,0.3237687647342682,0.337082177400589,0.3176900446414947,0.334514170885086,0.3060070872306824,0.3366088271141052,0.3119495809078216,0.2458641827106475,0.3115035593509674,0.2909466326236725,0.2948145270347595,0.2561133205890655,0.2709735631942749,0.4922590553760528,0.7541823983192444,0.5848555564880371,0.6704771518707275,0.4509705603122711,0.5298635363578796,0.4617321193218231,0.5611448884010315,0.705482542514801,0.6074872612953186,0.6854677200317383,0.4879133403301239,0.6255652904510498,No Fall
15,0.3434387743473053,0.336115151643753,0.3353605568408966,0.3410599827766418,0.3261351287364959,0.3630708456039428,0.3365340828895569,0.2670172750949859,0.3282139003276825,0.3136539757251739,0.3241061270236969,0.2842644155025482,0.2762643992900848,0.4976293444633484,0.7569679021835327,0.6095806956291199,0.6878076791763306,0.4576063454151153,0.5560111999511719,0.4724213182926178,0.5656089782714844,0.759596586227417,0.6305373311042786,0.7073307633399963,0.4968416690826416,0.6338141560554504,No Fall
20,0.3783904016017914,0.4116169512271881,0.3660635948181152,0.3944800794124603,0.3670955300331116,0.4048458635807037,0.3860233128070831,0.3095772862434387,0.3333670496940613,0.3546431958675384,0.3487257957458496,0.3373733758926391,0.3078522086143493,0.5112799406051636,0.8063135743141174,0.6520607471466064,0.7297217845916748,0.4869198799133301,0.558922290802002,0.4830137491226196,0.5924100279808044,0.766170084476471,0.659217894077301,0.718319833278656,0.5225865244865417,0.6643487811088562,No Fall
25,0.4187070727348327,0.4460078775882721,0.4073585867881775,0.4301861822605133,0.4038719832897186,0.433059424161911,0.4400713741779327,0.386722981929779,0.3521237969398498,0.4008241295814514,0.391088604927063,0.3991977274417877,0.3968227505683899,0.5326607823371887,0.7807363271713257,0.6276618838310242,0.7007840275764465,0.4810731709003448,0.5558840036392212,0.4792404174804687,0.6201209425926208,0.756801426410675,0.6500610113143921,0.7036339640617371,0.532242476940155,0.6942437291145325,No Fall
30,0.407620906829834,0.4482044577598572,0.4303080439567566,0.4488579630851745,0.4300283193588257,0.4053484797477722,0.4723515212535858,0.4622350037097931,0.4444069266319275,0.4493353962898254,0.4544663429260254,0.463060975074768,0.4831219315528869,0.4965276718139648,0.7640263438224792,0.6200450658798218,0.688105583190918,0.4738263785839081,0.5123963356018066,0.4488129317760467,0.5962000489234924,0.7833526730537415,0.637323260307312,0.7049419283866882,0.5173882842063904,0.6654174327850342,No Fall
35,0.4484515488147735,0.5249670743942261,0.4692093431949615,0.4992301762104034,0.4649127125740051,0.449595957994461,0.5045647025108337,0.5286555886268616,0.4517498612403869,0.4894390106201172,0.4804462194442749,0.5115218162536621,0.5349754691123962,0.5168946385383606,0.6913544535636902,0.6118757724761963,0.6336774230003357,0.4684303998947143,0.5595608949661255,0.4309341311454773,0.5642672777175903,0.7735411524772644,0.6272296905517578,0.6952319741249084,0.4972270727157593,0.5536425709724426,No Fall
40,0.4834404587745666,0.5344558358192444,0.505442202091217,0.5261093378067017,0.5002635717391968,0.4746457636356354,0.5251430869102478,0.5652644038200378,0.4680786728858948,0.5275405645370483,0.5072231292724609,0.5506117939949036,0.5644341707229614,0.5116604566574097,0.6648842096328735,0.5911339521408081,0.5925687551498413,0.4558211863040924,0.5541875958442688,0.4164825677871704,0.5391541719436646,0.7636129856109619,0.6098073124885559,0.6938483715057373,0.471631109714508,0.5458409190177917,No Fall
45,0.5162981748580933,0.5414809584617615,0.5321171283721924,0.5366230607032776,0.5303608775138855,0.5100938677787781,0.5572080016136169,0.5853544473648071,0.4945386946201324,0.5522905588150024,0.5292392373085022,0.5807445645332336,0.5822765231132507,0.5250760912895203,0.6297405958175659,0.5868778824806213,0.5878103971481323,0.4632840752601623,0.5679221749305725,0.4270141422748565,0.5424128174781799,0.7569429874420166,0.605668306350708,0.6805152893066406,0.4766639471054077,0.5710630416870117,Fall
50,0.545621931552887,0.5153085589408875,0.5495954751968384,0.5343401432037354,0.559816300868988,0.5380045771598816,0.585149347782135,0.6014556884765625,0.4983313977718353,0.5751433968544006,0.534233033657074,0.6036564111709595,0.5943579077720642,0.5446297526359558,0.6720653772354126,0.6015761494636536,0.6149967312812805,0.4831233322620392,0.5810920596122742,0.4501909017562866,0.5587262511253357,0.7522287964820862,0.6152889728546143,0.681745707988739,0.5020193457603455,0.609474241733551,Fall
