Frame Number,X_Left Elbow,X_Left Foot,X_Left Hip,X_Left Knee,X_Left Shoulder,X_Left Wrist,X_Nose,X_Right Elbow,X_Right Foot,X_Right Hip,X_Right Knee,X_Right Shoulder,X_Right Wrist,Y_Left Elbow,Y_Left Foot,Y_Left Hip,Y_Left Knee,Y_Left Shoulder,Y_Left Wrist,Y_Nose,Y_Right Elbow,Y_Right Foot,Y_Right Hip,Y_Right Knee,Y_Right Shoulder,Y_Right Wrist,Annotation
10,0.7149423956871033,0.6759373545646667,0.6877803802490234,0.6895560026168823,0.6959848999977112,0.7212306261062622,0.6448925733566284,0.6142938733100891,0.6681957840919495,0.6430432200431824,0.653685450553894,0.6204341053962708,0.6123322248458862,0.4023632705211639,0.6980326175689697,0.4899753928184509,0.6117324233055115,0.3211899995803833,0.4794536530971527,0.2675756514072418,0.428158551454544,0.7179749011993408,0.4929250180721283,0.6174442172050476,0.3398292362689972,0.5010527968406677,No fall
15,0.7085666060447693,0.6672420501708984,0.6822078227996826,0.6785029172897339,0.6892075538635254,0.7159445881843567,0.6367546916007996,0.6011598706245422,0.6707488298416138,0.6367260813713074,0.648928701877594,0.6121572256088257,0.5950459241867065,0.3982365727424621,0.7065123319625854,0.4823587238788605,0.606326162815094,0.3148364126682281,0.4710241258144378,0.2540785670280456,0.4219037592411041,0.7196537852287292,0.4892029166221618,0.6147022247314453,0.3338704705238342,0.4947232902050018,No fall
20,0.6970637440681458,0.644848108291626,0.6629008650779724,0.6450066566467285,0.6803811192512512,0.7013422250747681,0.6278271675109863,0.5850492119789124,0.6617758870124817,0.6212403178215027,0.6360805034637451,0.5983723998069763,0.5736289024353027,0.3968397378921509,0.722885251045227,0.4826622605323791,0.6063827276229858,0.3119544684886932,0.4703239500522613,0.244642823934555,0.4153673946857452,0.7242231369018555,0.4868680536746979,0.6127970814704895,0.331055611371994,0.4846623837947845,No fall
25,0.6832230091094971,0.6081027388572693,0.6525496244430542,0.6237729787826538,0.6705448031425476,0.6844233274459839,0.6149070858955383,0.5718634724617004,0.6579298377037048,0.6112203001976013,0.6263927817344666,0.5848724842071533,0.5561936497688293,0.3970074951648712,0.7469062209129333,0.4832573235034942,0.6113747954368591,0.3096739053726196,0.4725625813007355,0.2403099983930587,0.4134699404239654,0.718149721622467,0.4866247475147247,0.6130440831184387,0.3258697092533111,0.4859091341495514,No fall
30,0.6703226566314697,0.602220356464386,0.6346938610076904,0.6137154698371887,0.6588806509971619,0.6677873730659485,0.6055324673652649,0.5577261447906494,0.6422073841094971,0.5911744236946106,0.5874587893486023,0.5683611035346985,0.5450085401535034,0.3919862508773803,0.756202757358551,0.4836512207984924,0.6186225414276123,0.2969201803207397,0.4729811251163482,0.2266378700733184,0.4068271517753601,0.7111967206001282,0.4865003228187561,0.6135712265968323,0.3112413585186004,0.4850506782531738,No fall
35,0.6612774133682251,0.597943902015686,0.6241793632507324,0.6068142056465149,0.6505796909332275,0.653457522392273,0.5979703664779663,0.5345069766044617,0.5752921104431152,0.5700036883354187,0.5521382093429565,0.5500496625900269,0.5239397883415222,0.3829247057437897,0.7557036280632019,0.4835342168807983,0.6286523938179016,0.2866751551628113,0.4598063826560974,0.2219661027193069,0.3988046050071716,0.7385067343711853,0.4842183887958526,0.6140422224998474,0.2976506948471069,0.4775775074958801,No fall
40,0.6488405466079712,0.5909854769706726,0.6108495593070984,0.6027703881263733,0.6381418704986572,0.6435770392417908,0.5842015743255615,0.5097244381904602,0.5318931937217712,0.553610622882843,0.5338144898414612,0.5333722233772278,0.4959627091884613,0.3772569298744201,0.7594741582870483,0.4826924502849579,0.6331827044487,0.2817497551441192,0.4529518187046051,0.2094924300909042,0.390739381313324,0.764398992061615,0.479867935180664,0.6181942224502563,0.2868761122226715,0.4764862358570099,No fall
45,0.6294875741004944,0.5805969834327698,0.5934079885482788,0.6010059118270874,0.6140052080154419,0.6351056098937988,0.5593202710151672,0.4893255233764648,0.5326560735702515,0.5377283692359924,0.5283178687095642,0.5143283605575562,0.4814489483833313,0.376552015542984,0.7649261951446533,0.4837469160556793,0.6344380974769592,0.2836387455463409,0.4573268294334411,0.2158054709434509,0.3937016725540161,0.7790996432304382,0.4802222549915313,0.6315287947654724,0.2927657663822174,0.4766578078269958,No fall
50,0.6144874095916748,0.5731889009475708,0.5774041414260864,0.6089330911636353,0.6000952124595642,0.6197989583015442,0.5504699349403381,0.477980226278305,0.528195858001709,0.522568941116333,0.5166565775871277,0.5012943148612976,0.4851866066455841,0.392158567905426,0.7711016535758972,0.4971487820148468,0.6315771341323853,0.2939585447311401,0.4747365415096283,0.252049833536148,0.4065869748592376,0.7804898023605347,0.4981011152267456,0.6389414072036743,0.2978262901306152,0.5028079748153687,No fall
55,0.596734881401062,0.5750811100006104,0.5732762217521667,0.6048895716667175,0.5945895910263062,0.6004585027694702,0.5525782108306885,0.4749226868152618,0.5279953479766846,0.5150324106216431,0.5133735537528992,0.4905633926391601,0.4968705177307129,0.441599041223526,0.7916956543922424,0.535140872001648,0.6384846568107605,0.348588764667511,0.5248367190361023,0.3279789388179779,0.4607486724853515,0.786607563495636,0.53748619556427,0.6479623317718506,0.3559462130069732,0.5539753437042236,No fall
