Frame Number,X_Left Elbow,X_Left Foot,X_Left Hip,X_Left Knee,X_Left Shoulder,X_Left Wrist,X_Nose,X_Right Elbow,X_Right Foot,X_Right Hip,X_Right Knee,X_Right Shoulder,X_Right Wrist,Y_Left Elbow,Y_Left Foot,Y_Left Hip,Y_Left Knee,Y_Left Shoulder,Y_Left Wrist,Y_Nose,Y_Right Elbow,Y_Right Foot,Y_Right Hip,Y_Right Knee,Y_Right Shoulder,Y_Right Wrist,Annotation
5,0.141010895371437,0.1924963593482971,0.1727269142866134,0.1839106678962707,0.1518307030200958,0.1578484028577804,0.1845965087413787,0.1942507922649383,0.1658938825130462,0.182401418685913,0.1760663390159607,0.1961017996072769,0.2068396508693695,0.3303549885749817,0.7917758822441101,0.4864177107810974,0.641376793384552,0.2278055846691131,0.3718714118003845,0.1245523914694786,0.3106841146945953,0.8125784397125244,0.477909117937088,0.6534652709960938,0.2092336118221283,0.3696160614490509,No Fall
10,0.2115964144468307,0.2773727178573608,0.2139745205640792,0.23396036028862,0.2086067795753479,0.2186163514852523,0.2434517592191696,0.2152422964572906,0.1608098000288009,0.2171052247285843,0.2062322348356247,0.2189705520868301,0.2229433059692382,0.4840906858444214,0.7853294610977173,0.5312833786010742,0.6441909074783325,0.4333893358707428,0.5227394104003906,0.4044998288154602,0.423660546541214,0.8101648092269897,0.5075216889381409,0.6564991474151611,0.4012773931026459,0.4432417452335357,No Fall
15,0.2688505351543426,0.2936515212059021,0.2660410106182098,0.2874321937561035,0.2720237970352173,0.2737440168857574,0.3016163110733032,0.2713605761528015,0.1964069157838821,0.2625175416469574,0.2421243786811828,0.2723799049854278,0.285082459449768,0.5266470909118652,0.7624146938323975,0.5896760821342468,0.6490152478218079,0.4394888281822204,0.5855446457862854,0.4140480458736419,0.5421748757362366,0.7661810517311096,0.6040077209472656,0.6910716891288757,0.452686071395874,0.6084000468254089,No Fall
20,0.2724403738975525,0.2933958172798157,0.2850072979927063,0.3064154982566833,0.2851671278476715,0.285634845495224,0.3264467120170593,0.3143702447414398,0.2936014831066131,0.3003744781017303,0.3043091595172882,0.3134905099868774,0.3376737236976623,0.4997302591800689,0.6969375610351562,0.5588667988777161,0.6058837175369263,0.4282678067684173,0.5498537421226501,0.4070672690868377,0.5006494522094727,0.761515736579895,0.5687724351882935,0.6641199588775635,0.4260931313037872,0.5557528734207153,No Fall
25,0.2876851856708526,0.3669247627258301,0.3172710835933685,0.3423592150211334,0.3094321191310882,0.2925745248794555,0.3504561483860016,0.3504137396812439,0.2979590594768524,0.3300465643405914,0.3282855749130249,0.3439171016216278,0.3723140060901642,0.4952968955039978,0.7131888270378113,0.5675879716873169,0.6173123121261597,0.4432993531227112,0.5552347898483276,0.4137153327465057,0.4939657151699066,0.757931649684906,0.5685623288154602,0.6462334394454956,0.4360023438930511,0.5358161926269531,No Fall
30,0.3260557353496551,0.3803543150424957,0.3474934697151184,0.3666932880878448,0.3423371315002441,0.3282727003097534,0.3807739317417145,0.3839017748832702,0.3161244392395019,0.3631540536880493,0.3539207875728607,0.3793006241321563,0.3998983800411224,0.4907113015651703,0.7061153650283813,0.5615392327308655,0.6185124516487122,0.4386416673660278,0.5501689910888672,0.40873983502388,0.4897885322570801,0.7293391823768616,0.5668355822563171,0.6339054703712463,0.4278435111045837,0.5465074181556702,No Fall
35,0.3661715686321258,0.3797929883003235,0.3674953877925873,0.3837597072124481,0.3727791607379913,0.3667722642421722,0.4074127972126007,0.3983231484889984,0.3744014799594879,0.3854166269302368,0.4002692997455597,0.3998472094535827,0.4028312265872955,0.4802443385124206,0.6848106384277344,0.5590134859085083,0.6100214123725891,0.4190073013305664,0.5355942249298096,0.3965876996517181,0.4844908118247986,0.6962925791740417,0.5590113997459412,0.6265814900398254,0.4171103835105896,0.5453329086303711,No Fall
40,0.4042516648769378,0.3822275996208191,0.4009539783000946,0.3975634276866913,0.404786616563797,0.408322125673294,0.4386263489723205,0.4246362447738647,0.4418811500072479,0.4165832698345184,0.4374183714389801,0.4314329326152801,0.4253455400466919,0.4749170839786529,0.6874276995658875,0.5422545075416565,0.6001940965652466,0.4124514162540436,0.5298280715942383,0.3915074467658996,0.4773192703723907,0.6782858371734619,0.5413002967834473,0.5996268391609192,0.4139719009399414,0.5353958606719971,No Fall
45,0.4367700219154358,0.4710513949394226,0.4316072165966034,0.4549947381019592,0.4346497356891632,0.4431475698947906,0.4659009277820587,0.4532311260700226,0.3907606303691864,0.4415431022644043,0.4157792031764984,0.4560799598693847,0.4548925459384918,0.4776970744132995,0.6659272313117981,0.5412967801094055,0.5845633149147034,0.4128890931606293,0.5281828045845032,0.396977961063385,0.4932363331317901,0.6797981262207031,0.541334331035614,0.6017633080482483,0.427818238735199,0.5475943088531494,No Fall
50,0.4563861191272735,0.4301418364048004,0.454214483499527,0.452383428812027,0.4565273523330688,0.4742744565010071,0.4890691936016083,0.4831831157207489,0.4740363359451294,0.4724685549736023,0.4800387620925903,0.4851156771183014,0.4918700754642486,0.4670372307300567,0.6512085795402527,0.518952488899231,0.583885669708252,0.4119328260421753,0.5185595750808716,0.3872663378715515,0.4811464548110962,0.6647988557815552,0.520144522190094,0.5861418843269348,0.4169431626796722,0.5294288396835327,No Fall
